audio_id,caption
people_marching_01_01,people marching.
people_marching_02_01,The sound of people marching.
people_marching_03_01,An audio clip of people marching.
waterfall_burbling_01_01,waterfall burbling.
waterfall_burbling_02_01,The sound of waterfall burbling.
waterfall_burbling_03_01,An audio clip of waterfall burbling.
playing_tennis_01_01,playing tennis.
playing_tennis_02_01,The sound of playing tennis.
playing_tennis_03_01,An audio clip of playing tennis.
people_belly_laughing_01_01,people belly laughing.
people_belly_laughing_02_01,The sound of people belly laughing.
people_belly_laughing_03_01,An audio clip of people belly laughing.
car_engine_starting_01_01,car engine starting.
car_engine_starting_02_01,The sound of car engine starting.
car_engine_starting_03_01,An audio clip of car engine starting.
alarm_clock_ringing_01_01,alarm clock ringing.
alarm_clock_ringing_02_01,The sound of alarm clock ringing.
alarm_clock_ringing_03_01,An audio clip of alarm clock ringing.
female_speech_woman_speaking_01_01,"female speech, woman speaking."
female_speech_woman_speaking_02_01,"The sound of female speech, woman speaking."
female_speech_woman_speaking_03_01,"An audio clip of female speech, woman speaking."
cricket_chirping_01_01,cricket chirping.
cricket_chirping_02_01,The sound of cricket chirping.
cricket_chirping_03_01,An audio clip of cricket chirping.
wind_noise_01_01,wind noise.
wind_noise_02_01,The sound of wind noise.
wind_noise_03_01,An audio clip of wind noise.
foghorn_01_01,foghorn.
foghorn_02_01,The sound of foghorn.
foghorn_03_01,An audio clip of foghorn.
people_battle_cry_01_01,people battle cry.
people_battle_cry_02_01,The sound of people battle cry.
people_battle_cry_03_01,An audio clip of people battle cry.
playing_volleyball_01_01,playing volleyball.
playing_volleyball_02_01,The sound of playing volleyball.
playing_volleyball_03_01,An audio clip of playing volleyball.
female_singing_01_01,female singing.
female_singing_02_01,The sound of female singing.
female_singing_03_01,An audio clip of female singing.
playing_harpsichord_01_01,playing harpsichord.
playing_harpsichord_02_01,The sound of playing harpsichord.
playing_harpsichord_03_01,An audio clip of playing harpsichord.
male_speech_man_speaking_01_01,"male speech, man speaking."
male_speech_man_speaking_02_01,"The sound of male speech, man speaking."
male_speech_man_speaking_03_01,"An audio clip of male speech, man speaking."
playing_bassoon_01_01,playing bassoon.
playing_bassoon_02_01,The sound of playing bassoon.
playing_bassoon_03_01,An audio clip of playing bassoon.
playing_piano_01_01,playing piano.
playing_piano_02_01,The sound of playing piano.
playing_piano_03_01,An audio clip of playing piano.
people_clapping_01_01,people clapping.
people_clapping_02_01,The sound of people clapping.
people_clapping_03_01,An audio clip of people clapping.
bee_wasp_etc._buzzing_01_01,"bee, wasp, etc. buzzing."
bee_wasp_etc._buzzing_02_01,"The sound of bee, wasp, etc. buzzing."
bee_wasp_etc._buzzing_03_01,"An audio clip of bee, wasp, etc. buzzing."
baby_babbling_01_01,baby babbling.
baby_babbling_02_01,The sound of baby babbling.
baby_babbling_03_01,An audio clip of baby babbling.
people_whispering_01_01,people whispering.
people_whispering_02_01,The sound of people whispering.
people_whispering_03_01,An audio clip of people whispering.
coyote_howling_01_01,coyote howling.
coyote_howling_02_01,The sound of coyote howling.
coyote_howling_03_01,An audio clip of coyote howling.
metronome_01_01,metronome.
metronome_02_01,The sound of metronome.
metronome_03_01,An audio clip of metronome.
playing_harp_01_01,playing harp.
playing_harp_02_01,The sound of playing harp.
playing_harp_03_01,An audio clip of playing harp.
airplane_01_01,airplane.
airplane_02_01,The sound of airplane.
airplane_03_01,An audio clip of airplane.
rope_skipping_01_01,rope skipping.
rope_skipping_02_01,The sound of rope skipping.
rope_skipping_03_01,An audio clip of rope skipping.
ambulance_siren_01_01,ambulance siren.
ambulance_siren_02_01,The sound of ambulance siren.
ambulance_siren_03_01,An audio clip of ambulance siren.
people_coughing_01_01,people coughing.
people_coughing_02_01,The sound of people coughing.
people_coughing_03_01,An audio clip of people coughing.
pheasant_crowing_01_01,pheasant crowing.
pheasant_crowing_02_01,The sound of pheasant crowing.
pheasant_crowing_03_01,An audio clip of pheasant crowing.
bird_wings_flapping_01_01,bird wings flapping.
bird_wings_flapping_02_01,The sound of bird wings flapping.
bird_wings_flapping_03_01,An audio clip of bird wings flapping.
cap_gun_shooting_01_01,cap gun shooting.
cap_gun_shooting_02_01,The sound of cap gun shooting.
cap_gun_shooting_03_01,An audio clip of cap gun shooting.
child_singing_01_01,child singing.
child_singing_02_01,The sound of child singing.
child_singing_03_01,An audio clip of child singing.
race_car_auto_racing_01_01,"race car, auto racing."
race_car_auto_racing_02_01,"The sound of race car, auto racing."
race_car_auto_racing_03_01,"An audio clip of race car, auto racing."
male_singing_01_01,male singing.
male_singing_02_01,The sound of male singing.
male_singing_03_01,An audio clip of male singing.
playing_bass_guitar_01_01,playing bass guitar.
playing_bass_guitar_02_01,The sound of playing bass guitar.
playing_bass_guitar_03_01,An audio clip of playing bass guitar.
playing_violin_fiddle_01_01,"playing violin, fiddle."
playing_violin_fiddle_02_01,"The sound of playing violin, fiddle."
playing_violin_fiddle_03_01,"An audio clip of playing violin, fiddle."
playing_bongo_01_01,playing bongo.
playing_bongo_02_01,The sound of playing bongo.
playing_bongo_03_01,An audio clip of playing bongo.
playing_erhu_01_01,playing erhu.
playing_erhu_02_01,The sound of playing erhu.
playing_erhu_03_01,An audio clip of playing erhu.
tap_dancing_01_01,tap dancing.
tap_dancing_02_01,The sound of tap dancing.
tap_dancing_03_01,An audio clip of tap dancing.
playing_electronic_organ_01_01,playing electronic organ.
playing_electronic_organ_02_01,The sound of playing electronic organ.
playing_electronic_organ_03_01,An audio clip of playing electronic organ.
playing_congas_01_01,playing congas.
playing_congas_02_01,The sound of playing congas.
playing_congas_03_01,An audio clip of playing congas.
subway_metro_underground_01_01,"subway, metro, underground."
subway_metro_underground_02_01,"The sound of subway, metro, underground."
subway_metro_underground_03_01,"An audio clip of subway, metro, underground."
car_passing_by_01_01,car passing by.
car_passing_by_02_01,The sound of car passing by.
car_passing_by_03_01,An audio clip of car passing by.
orchestra_01_01,orchestra.
orchestra_02_01,The sound of orchestra.
orchestra_03_01,An audio clip of orchestra.
playing_acoustic_guitar_01_01,playing acoustic guitar.
playing_acoustic_guitar_02_01,The sound of playing acoustic guitar.
playing_acoustic_guitar_03_01,An audio clip of playing acoustic guitar.
hammering_nails_01_01,hammering nails.
hammering_nails_02_01,The sound of hammering nails.
hammering_nails_03_01,An audio clip of hammering nails.
duck_quacking_01_01,duck quacking.
duck_quacking_02_01,The sound of duck quacking.
duck_quacking_03_01,An audio clip of duck quacking.
playing_harmonica_01_01,playing harmonica.
playing_harmonica_02_01,The sound of playing harmonica.
playing_harmonica_03_01,An audio clip of playing harmonica.
dog_growling_01_01,dog growling.
dog_growling_02_01,The sound of dog growling.
dog_growling_03_01,An audio clip of dog growling.
church_bell_ringing_01_01,church bell ringing.
church_bell_ringing_02_01,The sound of church bell ringing.
church_bell_ringing_03_01,An audio clip of church bell ringing.
playing_table_tennis_01_01,playing table tennis.
playing_table_tennis_02_01,The sound of playing table tennis.
playing_table_tennis_03_01,An audio clip of playing table tennis.
skateboarding_01_01,skateboarding.
skateboarding_02_01,The sound of skateboarding.
skateboarding_03_01,An audio clip of skateboarding.
playing_steel_guitar_slide_guitar_01_01,"playing steel guitar, slide guitar."
playing_steel_guitar_slide_guitar_02_01,"The sound of playing steel guitar, slide guitar."
playing_steel_guitar_slide_guitar_03_01,"An audio clip of playing steel guitar, slide guitar."
playing_squash_01_01,playing squash.
playing_squash_02_01,The sound of playing squash.
playing_squash_03_01,An audio clip of playing squash.
playing_bass_drum_01_01,playing bass drum.
playing_bass_drum_02_01,The sound of playing bass drum.
playing_bass_drum_03_01,An audio clip of playing bass drum.
police_radio_chatter_01_01,police radio chatter.
police_radio_chatter_02_01,The sound of police radio chatter.
police_radio_chatter_03_01,An audio clip of police radio chatter.
horse_clip-clop_01_01,horse clip-clop.
horse_clip-clop_02_01,The sound of horse clip-clop.
horse_clip-clop_03_01,An audio clip of horse clip-clop.
horse_neighing_01_01,horse neighing.
